Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
,autivora-atmos-pro-hvac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-atmos-pro-hvac/autivora-atmos-pro-hvac-4.jpg,4,Autivara Atmos Pro — HVAC Scent Machine — view 4,,,,,,,,,,,,,,,,,,
Autivara Plug — Smart Wall Diffuser,autivora-smart-plug-diffuser,"<p>A discreet wall-plug scent system with full app control — effortless, always-on scenting for offices, lobbies, and suites.</p><ul><li>Direct wall-plug install</li><li>Wi-Fi app control</li><li>Scheduling + intensity levels</li><li>Magnetic refill design</li></ul>",Autivara,,Commercial Diffuser,"industrial, smart, wifi, plug-in, industrial-scenting",TRUE,Active,AV-PLUG,,Title,Default Title,,,,,,,,79.00,99.00,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,https://autivara.com/products/autivora-smart-plug-diffuser/autivora-smart-plug-diffuser-1.jpg,1,Autivara Plug — Smart Wall Diffuser,,FALSE,Autivara Plug | Commercial Diffuser | Autivara,"A discreet wall-plug scent system with full app control — effortless, always-on scenting for offices, lobbies, and suites.",,,,,,,,,,,,,,
,autivora-smart-plug-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-smart-plug-diffuser/autivora-smart-plug-diffuser-2.jpg,2,Autivara Plug — Smart Wall Diffuser — view 2,,,,,,,,,,,,,,,,,,
,autivora-smart-plug-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-smart-plug-diffuser/autivora-smart-plug-diffuser-3.jpg,3,Autivara Plug — Smart Wall Diffuser — view 3,,,,,,,,,,,,,,,,,,
,autivora-smart-plug-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-smart-plug-diffuser/autivora-smart-plug-diffuser-4.jpg,4,Autivara Plug — Smart Wall Diffuser — view 4,,,,,,,,,,,,,,,,,,
Autivara Riff — Guitar Car Diffuser,autivora-guitar-car-diffuser,<p>A finely formed guitar on a 360° clip that sways with the airflow — a considered design piece with a refillable scent core.</p><ul><li>360° rotating silicone clip</li><li>Sways with the airflow</li><li>Waterless refillable core</li><li>Universal vent fit</li></ul>,Autivara,,Car Diffuser,"car, vent-clip, waterless, novelty, car-diffusers",TRUE,Active,AV-RIFF,,Title,Default Title,,,,,,,,24.00,34.00,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,https://autivara.com/products/autivora-guitar-car-diffuser/autivora-guitar-car-diffuser-1.jpg,1,Autivara Riff — Guitar Car Diffuser,,FALSE,Autivara Riff | Car Diffuser | Autivara,A finely formed guitar on a 360° clip that sways with the airflow — a considered design piece with a refillable scent core.,,,,,,,,,,,,,,
,autivora-guitar-car-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-guitar-car-diffuser/autivora-guitar-car-diffuser-2.jpg,2,Autivara Riff — Guitar Car Diffuser — view 2,,,,,,,,,,,,,,,,,,
,autivora-guitar-car-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-guitar-car-diffuser/autivora-guitar-car-diffuser-3.jpg,3,Autivara Riff — Guitar Car Diffuser — view 3,,,,,,,,,,,,,,,,,,
,autivora-guitar-car-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-guitar-car-diffuser/autivora-guitar-car-diffuser-4.jpg,4,Autivara Riff — Guitar Car Diffuser — view 4,,,,,,,,,,,,,,,,,,
Autivara Orchard — Pear Car Diffuser,autivora-pear-car-diffuser,"<p>A sculpted, no-spill pear that nestles into any vent and holds a soft, refined scent in the cabin.</p><ul><li>Sealed no-spill design</li><li>Secure fit on any air vent</li><li>Refillable scent core</li><li>Compact and lightweight</li></ul>",Autivara,,Car Diffuser,"car, vent-clip, waterless, novelty, car-diffusers",FALSE,Draft,AV-ORCH,,Title,Default Title,,,,,,,,24.00,34.00,,TRUE,,,,,,shopify,100,DENY,,g,TRUE,manual,https://autivara.com/products/autivora-pear-car-diffuser/autivora-pear-car-diffuser-1.jpg,1,Autivara Orchard — Pear Car Diffuser,,FALSE,Autivara Orchard | Car Diffuser | Autivara,"A sculpted, no-spill pear that nestles into any vent and holds a soft, refined scent in the cabin.",,,,,,,,,,,,,,
,autivora-pear-car-diffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://autivara.com/products/autivora-pear-car-diffuser/autivora-pear-car-diffuser-2.jpg,2,Autivara Orchard — Pear Car Diffuser — view 2,,,,,,,,,,,,,,,,,,
